timestamp,distance_deg,reflection,left_speed,correction,test,time,error,right_speed,iteration
1758633020.744308,0,71,250,-119.6,pid_1m,0.006257057189941406,-46,50,0
1758633020.834669,1,70,248,-98.59999999999999,pid_1m,0.0985260009765625,-45,51,1
1758633020.911496,10,70,250,-103.6,pid_1m,0.1769299507141113,-45,50,2
1758633020.991961,29,74,250,-118.5,pid_1m,0.2576239109039307,-49,50,3
1758633021.072559,50,80,250,-137.0,pid_1m,0.3376069068908691,-55,50,4
1758633021.154313,68,81,250,-142.1,pid_1m,0.4178709983825684,-56,50,5
1758633021.248715,93,78,250,-139.4,pid_1m,0.5130839347839355,-53,50,6
1758633021.330458,113,71,250,-128.0,pid_1m,0.593890905380249,-46,50,7
1758633021.415703,134,66,250,-123.1,pid_1m,0.6809899806976318,-41,50,8
1758633021.499588,156,68,250,-134.9,pid_1m,0.7651069164276123,-43,50,9
1758633021.578292,176,68,250,-133.6,pid_1m,0.8430690765380859,-43,50,10
1758633021.670873,199,70,250,-138.6,pid_1m,0.9365530014038086,-45,50,11
1758633021.759367,220,68,250,-132.4,pid_1m,1.02488112449646,-43,50,12
1758633021.840132,240,68,250,-132.8,pid_1m,1.103074073791504,-43,50,13
1758633021.920905,261,66,250,-126.4,pid_1m,1.186579942703247,-41,50,14
1758633022.001586,281,67,250,-128.5,pid_1m,1.267038106918335,-42,50,15
1758633022.080383,301,70,250,-134.7,pid_1m,1.346144914627075,-45,50,16
1758633022.174308,324,73,250,-140.9,pid_1m,1.439704895019531,-48,50,17
1758633022.25755,345,70,250,-132.3,pid_1m,1.522171020507813,-45,50,18
1758633022.33851,366,70,250,-134.0,pid_1m,1.603111028671265,-45,50,19
1758633022.432271,389,47,224,-74.40000000000001,pid_1m,1.697914123535156,-22,75,20
1758633022.523478,410,65,250,-130.4,pid_1m,1.786664009094238,-40,50,21
1758633022.602753,430,80,250,-160.1,pid_1m,1.868500947952271,-55,50,22
1758633022.687005,450,50,225,-75.80000000000002,pid_1m,1.951920032501221,-25,74,23
1758633022.778674,472,8,130,20.0,pid_1m,2.041871070861816,17,170,24
1758633022.863781,491,6,139,10.1,pid_1m,2.128971099853516,19,160,25
1758633022.943035,502,7,137,12.9,pid_1m,2.208791971206665,18,162,26
1758633023.024404,512,7,130,20.0,pid_1m,2.290158033370972,18,170,27
1758633023.110875,525,6,121,28.9,pid_1m,2.376554012298584,19,178,28
1758633023.192453,535,7,117,32.20000000000001,pid_1m,2.456959009170532,18,182,29
1758633023.271957,544,7,113,36.7,pid_1m,2.537179946899414,18,186,30
1758633023.354074,554,7,107,42.5,pid_1m,2.619647979736328,18,192,31
1758633023.435048,563,7,100,49.8,pid_1m,2.700720071792603,18,199,32
1758633023.518259,572,6,93,56.70000000000001,pid_1m,2.783113956451416,19,206,33
1758633023.600708,580,6,93,56.40000000000001,pid_1m,2.8661789894104,19,206,34
1758633023.678949,587,7,96,53.8,pid_1m,2.944571971893311,18,203,35
1758633023.775638,596,12,108,41.3,pid_1m,3.040556907653809,13,191,36
1758633023.854523,604,42,184,-34.70000000000001,pid_1m,3.120284080505371,-17,115,37
1758633023.93689,614,74,250,-106.5,pid_1m,3.202620029449463,-49,50,38
1758633024.019578,629,75,249,-99.8,pid_1m,3.285069942474365,-50,50,39
1758633024.102231,651,20,113,36.9,pid_1m,3.367763042449951,5,186,40
1758633024.185553,671,1,92,57.5,pid_1m,3.450973987579346,24,207,41
1758633024.264395,681,0,98,51.20000000000001,pid_1m,3.530148983001709,25,201,42
1758633024.342318,688,0,98,51.3,pid_1m,3.607983112335205,25,201,43
1758633024.424241,696,0,98,51.9,pid_1m,3.689894914627075,25,201,44
1758633024.506654,704,0,97,52.60000000000001,pid_1m,3.772110939025879,25,202,45
1758633024.591595,712,0,96,53.8,pid_1m,3.857057094573975,25,203,46
1758633024.670484,720,0,92,58.00000000000001,pid_1m,3.936245918273926,25,208,47
1758633024.752301,728,0,84,65.40000000000001,pid_1m,4.017961025238037,25,215,48
1758633024.845634,736,3,84,65.1,pid_1m,4.111084938049316,22,215,49
1758633024.926785,743,4,84,65.7,pid_1m,4.192501068115234,21,215,50
1758633025.00661,750,11,102,47.7,pid_1m,4.272157907485962,14,197,51
1758633025.085688,756,8,92,57.90000000000001,pid_1m,4.351131916046143,17,207,52
1758633025.168712,765,7,91,58.2,pid_1m,4.430890083312988,18,208,53
