1758630946.195987,0.0007669925689697266,90,0,bangbang,8,22,-60,210
1758630946.321337,0.1269412040710449,90,1,bangbang,7,23,-60,210
1758630946.448606,0.2544040679931641,90,2,bangbang,7,23,-60,210
1758630946.571635,0.3771841526031494,90,3,bangbang,8,22,-60,210
1758630946.696945,0.5027930736541748,90,4,bangbang,8,22,-60,210
1758630946.829409,0.635004997253418,90,5,bangbang,9,21,-60,210
1758630946.952694,0.7585301399230957,90,6,bangbang,7,23,-60,210
1758630947.081016,0.8868420124053955,90,7,bangbang,8,22,-60,210
1758630947.208742,1.014577150344849,90,8,bangbang,9,21,-60,210
1758630947.33632,1.141966104507446,90,9,bangbang,8,22,-60,210
1758630947.460372,1.266225099563599,210,10,bangbang,32,-2,60,90
1758630947.585489,1.391043186187744,210,11,bangbang,68,-38,60,90
1758630947.710284,1.516130208969116,210,12,bangbang,68,-38,60,90
1758630947.839565,1.645166158676147,210,13,bangbang,69,-39,60,90
1758630947.969974,1.775796175003052,210,14,bangbang,68,-38,60,90
1758630948.1059,1.911741018295288,210,15,bangbang,69,-39,60,90
1758630948.230416,2.036275148391724,210,16,bangbang,68,-38,60,90
1758630948.356856,2.161967039108276,210,17,bangbang,61,-31,60,90
1758630948.485874,2.291685104370117,210,18,bangbang,38,-8,60,90
1758630948.610386,2.416244983673096,90,19,bangbang,14,16,-60,210
1758630948.732067,2.537905216217041,90,20,bangbang,8,22,-60,210
1758630948.862871,2.668588161468506,90,21,bangbang,9,21,-60,210
1758630948.986524,2.7919762134552,210,22,bangbang,31,-1,60,90
1758630949.112257,2.918007135391235,210,23,bangbang,71,-41,60,90
1758630949.238787,3.044625043869019,90,24,bangbang,22,8,-60,210
1758630949.36228,3.168045043945313,90,25,bangbang,7,23,-60,210
1758630949.484026,3.289716005325317,90,26,bangbang,10,20,-60,210
1758630949.606886,3.412716150283813,90,27,bangbang,11,19,-60,210
1758630949.733065,3.538916110992432,90,28,bangbang,16,14,-60,210
1758630949.856894,3.66260814666748,90,29,bangbang,26,4,-60,210
1758630949.989558,3.795127153396606,210,30,bangbang,63,-33,60,90
1758630950.112787,3.91798210144043,210,31,bangbang,80,-50,60,90
1758630950.239539,4.045135021209717,210,32,bangbang,80,-50,60,90
1758630950.36232,4.168078184127808,210,33,bangbang,62,-32,60,90
1758630950.489947,4.295783042907715,90,34,bangbang,19,11,-60,210
1758630950.610252,4.416109085083008,90,35,bangbang,8,22,-60,210
1758630950.736384,4.541824102401733,90,36,bangbang,23,7,-60,210
1758630950.862361,4.668102025985718,210,37,bangbang,64,-34,60,90
1758630950.990278,4.796049118041992,210,38,bangbang,71,-41,60,90
1758630951.111545,4.917098045349121,210,39,bangbang,74,-44,60,90
1758630951.24419,5.049968004226685,210,40,bangbang,71,-41,60,90
1758630951.366565,5.172024011611938,210,41,bangbang,35,-5,60,90
1758630951.487021,5.292877197265625,90,42,bangbang,13,17,-60,210
1758630951.610638,5.416409015655518,90,43,bangbang,9,21,-60,210
1758630951.733061,5.538911104202271,90,44,bangbang,9,21,-60,210
1758630951.862075,5.667913198471069,210,45,bangbang,40,-10,60,90
1758630951.984872,5.790728092193604,210,46,bangbang,66,-36,60,90
1758630952.118586,5.924298048019409,210,47,bangbang,64,-34,60,90
1758630952.246614,6.052242040634155,210,48,bangbang,47,-17,60,90
1758630952.370949,6.17671012878418,90,49,bangbang,15,15,-60,210
1758630952.498307,6.303161144256592,90,50,bangbang,8,22,-60,210
1758630952.624264,6.430039167404175,210,51,bangbang,37,-7,60,90
1758630952.75048,6.556138038635254,210,52,bangbang,77,-47,60,90
1758630952.879381,6.684928178787231,210,53,bangbang,75,-45,60,90
1758630953.001467,6.807008028030396,210,54,bangbang,43,-13,60,90
1758630953.134128,6.939697027206421,90,55,bangbang,8,22,-60,210
1758630953.255569,7.061086177825928,90,56,bangbang,10,20,-60,210
1758630953.379924,7.185752153396606,90,57,bangbang,24,6,-60,210
1758630953.503627,7.308990001678467,210,58,bangbang,71,-41,60,90
1758630953.626,7.431840181350708,210,59,bangbang,70,-40,60,90
1758630953.753562,7.559064149856567,210,60,bangbang,69,-39,60,90
1758630953.876772,7.682602167129517,210,61,bangbang,69,-39,60,90
1758630953.999831,7.805675029754639,210,62,bangbang,66,-36,60,90
1758630954.124594,7.930276155471802,210,63,bangbang,30,0,60,90
1758630954.252411,8.058167219161987,90,64,bangbang,9,21,-60,210
1758630954.375944,8.181777000427246,90,65,bangbang,8,22,-60,210
1758630954.502341,8.307898998260498,90,66,bangbang,9,21,-60,210
1758630954.627019,8.432865142822266,90,67,bangbang,10,20,-60,210
1758630954.750902,8.556613206863403,90,68,bangbang,10,20,-60,210
1758630954.878689,8.684528112411499,90,69,bangbang,25,5,-60,210
1758630955.001326,8.80693507194519,210,70,bangbang,69,-39,60,90
1758630955.123392,8.928965091705322,210,71,bangbang,70,-40,60,90
1758630955.254081,9.05983304977417,210,72,bangbang,71,-41,60,90
1758630955.379735,9.185307025909424,210,73,bangbang,61,-31,60,90
1758630955.502134,9.307980060577393,90,74,bangbang,18,12,-60,210
1758630955.62436,9.430212020874023,90,75,bangbang,6,24,-60,210
1758630955.74675,9.552596092224121,90,76,bangbang,17,13,-60,210
1758630955.874824,9.680674076080322,210,77,bangbang,37,-7,60,90
1758630955.998555,9.802255153656006,210,78,bangbang,49,-19,60,90
1758630956.126606,9.932187080383301,210,79,bangbang,58,-28,60,90
1758630956.252591,10.05831813812256,210,80,bangbang,65,-35,60,90
1758630956.379733,10.18509602546692,210,81,bangbang,71,-41,60,90
1758630956.507088,10.31293821334839,210,82,bangbang,59,-29,60,90
1758630956.629984,10.43583607673645,90,83,bangbang,10,20,-60,210
1758630956.757591,10.56282806396484,90,84,bangbang,8,22,-60,210
1758630956.882077,10.68792319297791,90,85,bangbang,9,21,-60,210
1758630957.009944,10.81577014923096,90,86,bangbang,14,16,-60,210
1758630957.142464,10.94699001312256,210,87,bangbang,43,-13,60,90
1758630957.27062,11.07637715339661,210,88,bangbang,63,-33,60,90
1758630957.394432,11.20027303695679,90,89,bangbang,13,17,-60,210
1758630957.515089,11.32085418701172,90,90,bangbang,9,21,-60,210
1758630957.640619,11.44638514518738,90,91,bangbang,8,22,-60,210
1758630957.765504,11.57104516029358,90,92,bangbang,8,22,-60,210
1758630957.889445,11.69503808021545,90,93,bangbang,7,23,-60,210
1758630958.012943,11.81878805160522,90,94,bangbang,7,23,-60,210
1758630958.149845,11.95568609237671,90,95,bangbang,8,22,-60,210
1758630958.275779,12.0816171169281,90,96,bangbang,8,22,-60,210
1758630958.404713,12.21043109893799,90,97,bangbang,8,22,-60,210
1758630958.530486,12.33613514900208,90,98,bangbang,9,21,-60,210
1758630958.656553,12.46210312843323,90,99,bangbang,9,21,-60,210
1758630958.781553,12.58700013160706,90,100,bangbang,8,22,-60,210
1758630958.902897,12.70874714851379,90,101,bangbang,8,22,-60,210
1758630959.027666,12.83303618431091,90,102,bangbang,7,23,-60,210
1758630959.157632,12.96301221847534,90,103,bangbang,7,23,-60,210
1758630959.280612,13.08638405799866,90,104,bangbang,7,23,-60,210
1758630959.402338,13.20809316635132,90,105,bangbang,7,23,-60,210
1758630959.528785,13.33460021018982,90,106,bangbang,7,23,-60,210
1758630959.651095,13.45683312416077,90,107,bangbang,7,23,-60,210
1758630959.77817,13.583083152771,90,108,bangbang,7,23,-60,210
1758630959.899918,13.70574116706848,90,109,bangbang,8,22,-60,210
1758630960.02552,13.83107805252075,90,110,bangbang,8,22,-60,210
1758630960.152399,13.95814204216004,90,111,bangbang,8,22,-60,210
1758630960.27645,14.08207511901856,90,112,bangbang,8,22,-60,210
1758630960.399756,14.20498299598694,90,113,bangbang,8,22,-60,210
1758630960.536787,14.3422520160675,90,114,bangbang,8,22,-60,210
1758630960.663745,14.46924114227295,90,115,bangbang,8,22,-60,210
1758630960.78698,14.59283304214478,90,116,bangbang,8,22,-60,210
