timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1761047758.39514,20.28081607818604,265.44,None,9,140,PID,14.56,125.44,676,0,None,39,None,105
1761047758.604925,20.50585603713989,79.84000000000001,None,65,140,PID,200.16,-60.16000000000001,696,0,None,39,None,106
1761047758.812981,20.70693802833557,106.16,None,84,140,PID,173.84,-33.84,624,0,None,39,None,107
1761047759.014361,20.91493511199951,134.16,None,80,140,PID,145.84,-5.840000000000004,554,0,None,39,None,108
1761047759.204953,21.09875917434692,132.88,None,78,140,PID,147.12,-7.120000000000003,542,0,None,39,None,109
1761047759.385936,21.28648400306702,144.44,None,71,140,PID,135.56,4.44,541,0,None,39,None,110
1761047759.579409,21.47877216339111,160.88,None,59,140,PID,119.12,20.88,562,0,None,39,None,111
1761047759.787817,21.68804907798767,141.52,None,62,140,PID,138.48,1.519999999999998,588,0,None,39,None,112
1761047760.003069,21.89066505432129,122.76,None,72,140,PID,157.24,-17.24,529,0,None,39,None,113
1761047760.206362,22.10741114616394,100.0,None,88,140,PID,180.0,-40.0,460,0,None,39,None,114
1761047760.392777,22.28986310958863,255.28,None,21,140,PID,24.72,115.28,512,0,None,39,None,115
1761047760.585953,22.48097515106201,162.84,None,28,140,PID,117.16,22.84,561,0,None,39,None,116
1761047760.783978,22.68464398384094,99.68000000000002,None,64,140,PID,180.32,-40.31999999999999,572,0,None,39,None,117
1761047761.000795,22.89812517166138,128.8,None,70,140,PID,151.2,-11.2,520,0,None,39,None,118
1761047761.177486,23.07859516143799,197.72,None,39,140,PID,82.28,57.72,513,0,None,39,None,119
1761047761.384959,23.28101110458374,71.92,None,83,140,PID,208.08,-68.08,498,0,None,39,None,120
1761047761.590121,23.48689198493958,145.04,None,72,140,PID,134.96,5.039999999999999,456,0,None,39,None,121
1761047761.783296,23.67980003356934,141.52,None,66,140,PID,138.48,1.519999999999998,398,0,None,39,None,122
1761047761.971066,23.86829710006714,183.96,None,42,140,PID,96.04000000000001,43.96,439,0,None,39,None,123
1761047762.185896,24.08618307113648,103.36,None,68,140,PID,176.64,-36.64,444,0,None,39,None,124
1761047762.376777,24.27808618545532,97.52000000000001,None,85,140,PID,182.48,-42.48,368,0,None,39,None,125
1761047762.56464,24.46492719650269,114.84,None,85,140,PID,165.16,-25.16,291,0,None,39,None,126
1761047762.75067,24.6481351852417,134.76,None,74,140,PID,145.24,-5.239999999999998,239,0,None,39,None,127
1761047762.934843,24.83559012413025,126.2,None,71,140,PID,153.8,-13.8,205,0,None,39,None,128
1761047763.151361,25.04615116119385,110.36,None,76,140,PID,169.64,-29.64,149,0,None,39,None,129
1761047763.344349,25.24482417106629,193.2,None,38,140,PID,86.8,53.2,170,0,None,39,None,130
1761047763.536782,25.43267107009888,188.52,None,18,140,PID,91.48000000000001,48.52,193,0,None,39,None,131
1761047763.754518,25.65056204795837,52.95999999999999,None,73,140,PID,227.04,-87.04000000000001,154,0,None,39,None,132
1761047763.94618,25.84699702262879,95.91999999999999,None,83,140,PID,184.08,-44.08,78,0,None,39,None,133
1761047764.140824,26.0384681224823,254.4,None,10,140,PID,25.6,114.4,90,0,None,39,None,134
