timestamp,time,right_speed,iteration,test,reflection,error,correction,left_speed
1758632991.950976,0.04690098762512207,90,0,bangbang,6,24,-60,210
1758632992.07598,0.1764678955078125,90,1,bangbang,6,24,-60,210
1758632992.20561,0.3057589530944824,90,2,bangbang,7,23,-60,210
1758632992.330222,0.4305238723754883,90,3,bangbang,6,24,-60,210
1758632992.458579,0.5556020736694336,90,4,bangbang,6,24,-60,210
1758632992.581496,0.6816689968109131,90,5,bangbang,7,23,-60,210
1758632992.709358,0.8096189498901367,90,6,bangbang,7,23,-60,210
1758632992.832051,0.9325330257415771,90,7,bangbang,7,23,-60,210
1758632992.955355,1.055406093597412,90,8,bangbang,7,23,-60,210
1758632993.080625,1.181020975112915,90,9,bangbang,7,23,-60,210
1758632993.204494,1.304966926574707,90,10,bangbang,7,23,-60,210
1758632993.334159,1.432544946670532,90,11,bangbang,7,23,-60,210
1758632993.460021,1.560497045516968,90,12,bangbang,7,23,-60,210
1758632993.592998,1.693465948104858,90,13,bangbang,7,23,-60,210
1758632993.715681,1.815860986709595,90,14,bangbang,7,23,-60,210
1758632993.842583,1.942988872528076,90,15,bangbang,7,23,-60,210
1758632993.965426,2.065622091293335,90,16,bangbang,7,23,-60,210
1758632994.09077,2.191161870956421,90,17,bangbang,7,23,-60,210
1758632994.213417,2.313656091690063,90,18,bangbang,7,23,-60,210
1758632994.339052,2.43955397605896,90,19,bangbang,7,23,-60,210
1758632994.468527,2.568043947219849,90,20,bangbang,7,23,-60,210
1758632994.592411,2.692796945571899,90,21,bangbang,7,23,-60,210
1758632994.724547,2.825041055679321,90,22,bangbang,7,23,-60,210
1758632994.850339,2.950656890869141,90,23,bangbang,8,22,-60,210
1758632994.976935,3.077370882034302,90,24,bangbang,5,25,-60,210
1758632995.101574,3.201732873916626,90,25,bangbang,0,30,-60,210
1758632995.232007,3.332452058792114,90,26,bangbang,0,30,-60,210
1758632995.357597,3.457603931427002,90,27,bangbang,1,29,-60,210
1758632995.480279,3.58078408241272,90,28,bangbang,7,23,-60,210
1758632995.610035,3.710505962371826,90,29,bangbang,2,28,-60,210
1758632995.733481,3.831424951553345,90,30,bangbang,9,21,-60,210
1758632995.860054,3.959517002105713,90,31,bangbang,7,23,-60,210
1758632995.992392,4.092789888381958,90,32,bangbang,8,22,-60,210
1758632996.120124,4.220603942871094,90,33,bangbang,8,22,-60,210
1758632996.245379,4.345465898513794,210,34,bangbang,57,-27,60,90
1758632996.375603,4.473943948745728,210,35,bangbang,65,-35,60,90
1758632996.499065,4.599565029144287,210,36,bangbang,64,-34,60,90
1758632996.62951,4.729672908782959,210,37,bangbang,63,-33,60,90
1758632996.760412,4.860913991928101,210,38,bangbang,64,-34,60,90
1758632996.892957,4.993459939956665,210,39,bangbang,66,-36,60,90
1758632997.019523,5.119776010513306,210,40,bangbang,68,-38,60,90
1758632997.144656,5.245148897171021,210,41,bangbang,70,-40,60,90
1758632997.267009,5.367486000061035,210,42,bangbang,61,-31,60,90
1758632997.393633,5.493776082992554,90,43,bangbang,18,12,-60,210
1758632997.514909,5.615407943725586,90,44,bangbang,7,23,-60,210
1758632997.643712,5.743695974349976,90,45,bangbang,7,23,-60,210
1758632997.770335,5.870820045471191,90,46,bangbang,7,23,-60,210
1758632997.897067,5.997554063796997,90,47,bangbang,7,23,-60,210
